[2026-07-07 12:33:06] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_41 - Track ID: 28 - Width: 2.729mm, Length: 25.9mm - Trigger Reason: Width 2.729mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:33:06] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_42 - Track ID: 29 - Width: 15.000mm, Length: 7.2mm - Trigger Reason: Width 15.000mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:33:06] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_43 - Track ID: 30 - Width: 2.976mm, Length: 26.9mm - Trigger Reason: Width 2.976mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:33:06] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_44 - Track ID: 31 - Width: 14.854mm, Length: 9.8mm - Trigger Reason: Width 14.854mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:33:06] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_45 - Track ID: 32 - Width: 1.598mm, Length: 4.4mm - Trigger Reason: Width 1.598mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:33:07] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_48 - Track ID: 33 - Width: 2.935mm, Length: 27.5mm - Trigger Reason: Width 2.935mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:33:08] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_54 - Track ID: 34 - Width: 2.867mm, Length: 26.6mm - Trigger Reason: Width 2.867mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:33:08] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_56 - Track ID: 36 - Width: 3.125mm, Length: 26.0mm - Trigger Reason: Width 3.125mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:33:08] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_58 - Track ID: 37 - Width: 2.842mm, Length: 26.7mm - Trigger Reason: Width 2.842mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:33:09] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_60 - Track ID: 38 - Width: 3.052mm, Length: 24.2mm - Trigger Reason: Width 3.052mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:33:09] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_61 - Track ID: 39 - Width: 2.940mm, Length: 26.5mm - Trigger Reason: Width 2.940mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:33:09] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_64 - Track ID: 40 - Width: 13.489mm, Length: 9.2mm - Trigger Reason: Width 13.489mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:33:10] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_66 - Track ID: 43 - Width: 3.481mm, Length: 16.7mm - Trigger Reason: Width 3.481mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:33:10] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_66 - Track ID: 44 - Width: 1.414mm, Length: 4.6mm - Trigger Reason: Width 1.414mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:33:10] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_68 - Track ID: 45 - Width: 3.156mm, Length: 24.7mm - Trigger Reason: Width 3.156mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:33:11] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_73 - Track ID: 46 - Width: 2.996mm, Length: 25.3mm - Trigger Reason: Width 2.996mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:33:13] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_83 - Track ID: 48 - Width: 2.804mm, Length: 26.9mm - Trigger Reason: Width 2.804mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:33:13] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_83 - Track ID: 49 - Width: 12.303mm, Length: 11.2mm - Trigger Reason: Width 12.303mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
